IRI Profile on 20100101 0200 UT 
Altitude, Ne[m^-3], Ti[K],Te[K]
80.00,3.168e+08,218.34,218.34
81.00,3.430e+08,216.47,216.47
82.00,3.661e+08,214.51,214.51
83.00,3.870e+08,212.49,212.49
84.00,4.069e+08,210.44,210.44
85.00,4.353e+08,208.37,208.37
86.00,4.971e+08,206.32,206.32
87.00,6.376e+08,204.30,204.30
88.00,9.660e+08,202.33,202.33
89.00,1.436e+09,200.44,200.44
90.00,1.941e+09,198.62,198.62
91.00,2.483e+09,196.91,196.91
92.00,3.032e+09,195.32,195.32
93.00,3.558e+09,193.85,193.85
94.00,4.038e+09,192.54,192.54
95.00,4.456e+09,191.38,191.38
96.00,4.805e+09,190.40,190.40
97.00,5.085e+09,189.61,189.61
98.00,5.301e+09,189.01,189.01
99.00,5.462e+09,188.64,188.64
100.00,5.577e+09,188.50,188.50
101.00,5.655e+09,188.62,188.62
102.00,5.706e+09,189.04,189.04
103.00,5.737e+09,189.81,189.81
104.00,5.755e+09,191.01,191.01
105.00,5.764e+09,192.68,192.68
106.00,5.768e+09,194.92,194.92
107.00,5.770e+09,197.82,197.82
108.00,5.770e+09,201.48,201.48
109.00,5.770e+09,206.04,206.04
110.00,5.770e+09,211.70,211.70
111.00,5.737e+09,218.63,218.63
112.00,5.647e+09,226.90,226.90
113.00,5.516e+09,236.56,236.56
114.00,5.356e+09,247.65,247.65
115.00,5.178e+09,260.20,260.20
116.00,4.993e+09,274.22,274.22
117.00,4.807e+09,289.64,289.64
118.00,4.629e+09,306.34,306.34
119.00,4.463e+09,324.04,324.04
120.00,4.314e+09,342.30,342.30
121.00,4.186e+09,360.45,360.45
122.00,4.081e+09,377.57,377.57
123.00,3.999e+09,392.49,392.49
124.00,3.943e+09,402.93,402.93
125.00,3.911e+09,413.55,413.55
126.00,3.904e+09,423.79,423.79
127.00,3.919e+09,433.67,434.06
128.00,3.957e+09,443.20,447.17
129.00,4.014e+09,452.39,460.28
130.00,4.088e+09,461.25,473.39
131.00,4.177e+09,469.80,486.50
132.00,4.279e+09,478.05,499.61
133.00,4.392e+09,486.00,512.72
134.00,4.513e+09,493.68,525.83
135.00,4.641e+09,501.08,538.94
136.00,4.773e+09,508.22,552.05
137.00,4.909e+09,515.11,565.16
138.00,5.048e+09,521.75,578.27
139.00,5.190e+09,528.16,591.38
140.00,5.336e+09,534.34,604.49
141.00,5.486e+09,540.31,617.59
142.00,5.643e+09,546.06,630.70
143.00,5.813e+09,551.61,643.81
144.00,6.001e+09,556.97,656.92
